id,entry_type,target_audience,role,region,question,answer,ml_tag
1,ats_keywords,all_job_seekers,UX Designer,Africa,What ATS keywords should a UX Designer include for roles in Africa?,"Include keywords such as ux designer, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
2,mock_interview,all_job_seekers,UX Designer,Africa,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
3,ats_keywords,all_job_seekers,Data Analyst,Global Remote,What ATS keywords should a Data Analyst include for roles in Global Remote?,"Include keywords such as data analyst, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
4,ats_keywords,all_job_seekers,IT Support,US/EU,What ATS keywords should a IT Support include for roles in US/EU?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
5,resume_rewrite,all_job_seekers,Data Analyst,Africa,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
6,mock_interview,all_job_seekers,UX Designer,Global Remote,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
7,mock_interview,all_job_seekers,UX Designer,US/EU,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
8,resume_rewrite,all_job_seekers,IT Support,US/EU,Rewrite this resume bullet for a IT Support: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
9,mock_interview,all_job_seekers,Data Analyst,US/EU,Mock interview question for an entry-level Data Analyst role.,"Describe a project where you applied relevant skills for a Data Analyst. Focus on problem, action, and result.",finetuning
10,career_qa,all_job_seekers,IT Support,US/EU,What is the best way for a new job seeker to break into a IT Support role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
11,mock_interview,all_job_seekers,IT Support,US/EU,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
12,mock_interview,all_job_seekers,Product Manager,US/EU,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
13,resume_rewrite,all_job_seekers,Data Analyst,US/EU,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
14,resume_rewrite,all_job_seekers,IT Support,Global Remote,Rewrite this resume bullet for a IT Support: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
15,mock_interview,all_job_seekers,Marketing Analyst,Global Remote,Mock interview question for an entry-level Marketing Analyst role.,"Describe a project where you applied relevant skills for a Marketing Analyst. Focus on problem, action, and result.",finetuning
16,ats_keywords,all_job_seekers,Product Manager,US/EU,What ATS keywords should a Product Manager include for roles in US/EU?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
